Employee_id,manager_chain
51832,"""51071"",""51035"",""51020"""
51427,"""51071"",""51035"",""51020"""
51022,"""51071"",""51035"",""51020"""
51341,"""51071"",""51035"",""51020"""
51174,"""51071"",""51035"",""51020"""
51074,"""51154"",""51035"",""51020"""
51192,"""51154"",""51035"",""51020"""
51155,"""51154"",""51035"",""51020"""
51764,"""51154"",""51035"",""51020"""
51098,"""51154"",""51035"",""51020"""
51073,"""51154"",""51035"",""51020"""
51848,"""51154"",""51035"",""51020"""
51461,"""51154"",""51035"",""51020"""
51184,"""51154"",""51035"",""51020"""
51180,"""51154"",""51035"",""51020"""
51225,"""51154"",""51035"",""51020"""
51847,"""51154"",""51035"",""51020"""
51175,"""51186"",""51237"""
51003,"""51186"",""51237"""
51966,"""51186"",""51237"""
51970,"""51186"",""51237"""
51550,"""51215"""
51553,"""51215"""
51569,"""51215"""
51574,"""51215"""
51579,"""51215"""
51483,"""51215"""
51247,"""51215"""
51849,"""51221"""
51433,"""51221"""
51443,"""51221"""
51857,"""51237"""
51858,"""51237"""
51451,"""51237"""
51364,"""51237"""
51452,"""51237"""
51439,"""51237"""
31841,"""51237"""
51856,"""51237"""
31963,"""51237"""
51186,"""51237"""
51234,"""51237"""
51351,"""51284"""
51464,"""51284"""
31847,"""51299"""
51122,"""51302"",""51019"",""30144"""
51239,"""51302"",""51019"",""30144"""
51095,"""51302"",""51019"",""30144"""
51048,"""51302"",""51019"",""30144"""
51817,"""51302"",""51019"",""30144"""
51049,"""51302"",""51019"",""30144"""
51818,"""51302"",""51019"",""30144"""
51123,"""51302"",""51019"",""30144"""
51213,"""51302"",""51019"",""30144"""
51240,"""51302"",""51019"",""30144"""
51046,"""51302"",""51019"",""30144"""
51183,"""51302"",""51019"",""30144"""
51045,"""51302"",""51019"",""30144"""
51962,"""51302"",""51019"",""30144"""
51189,"""51302"",""51019"",""30144"""
51177,"""51302"",""51019"",""30144"""
51047,"""51302"",""51019"",""30144"""
51181,"""51302"",""51019"",""30144"""
51310,"""51307"",""31858"""
51331,"""51307"",""31858"""
51407,"""51307"",""31858"""
51408,"""51307"",""31858"""
51301,"""51318"""
51230,"""51318"""
31844,"""51318"""
51231,"""51318"""
51256,"""51319"""
31846,"""51319"""
31829,"""51319"""
51375,"""51319"""
51292,"""51319"""
51374,"""51319"""
51852,"""51333"""
51766,"""51333"""
51346,"""51333"""
51693,"""51333"""
51885,"""51333"""
51445,"""51333"""
51339,"""51337"",""30144"""
51401,"""51337"",""30144"""
51328,"""51337"",""30144"""
51013,"""51337"",""30144"""
51398,"""51337"",""30144"""
51268,"""51337"",""30144"""
51304,"""51337"",""30144"""
51388,"""51337"",""30144"""
51391,"""51337"",""30144"""
51057,"""51337"",""30144"""
51293,"""51337"",""30144"""
51271,"""51337"",""30144"""
51054,"""51337"",""30144"""
51330,"""51337"",""30144"""
51052,"""51337"",""30144"""
51396,"""51337"",""30144"""
31868,"""51337"",""30144"""
51392,"""51337"",""30144"""
51014,"""51337"",""30144"""
51115,"""51337"",""30144"""
31843,"""51337"",""30144"""
51017,"""51337"",""30144"""
51285,"""51337"",""30144"""
51125,"""51337"",""30144"""
51265,"""51337"",""30144"""
51008,"""51337"",""30144"""
51050,"""51337"",""30144"""
51037,"""51337"",""30144"""
31918,"""51337"",""30144"""
51016,"""51337"",""30144"""
51141,"""51337"",""30144"""
31751,"""51337"",""30144"""
51140,"""51337"",""30144"""
31904,"""51337"",""30144"""
51385,"""51337"",""30144"""
51354,"""51337"",""30144"""
31776,"""51337"",""30144"""
51129,"""51337"",""30144"""
21752,"""51337"",""30144"""
51469,"""51337"",""30144"""
51288,"""51337"",""30144"""
51258,"""51337"",""30144"""
51005,"""51337"",""30144"""
51353,"""51337"",""30144"""
51145,"""51337"",""30144"""
31865,"""51337"",""30144"""
31893,"""51337"",""30144"""
51128,"""51337"",""30144"""
31905,"""51337"",""30144"""
31891,"""51337"",""30144"""
51387,"""51337"",""30144"""
51422,"""51337"",""30144"""
51007,"""51337"",""30144"""
51277,"""51337"",""30144"""
51264,"""51337"",""30144"""
51101,"""51337"",""30144"""
51139,"""51337"",""30144"""
51147,"""51337"",""30144"""
51131,"""51337"",""30144"""
31892,"""51337"",""30144"""
51262,"""51337"",""30144"""
51390,"""51337"",""30144"""
51274,"""51337"",""30144"""
51323,"""51337"",""30144"""
51377,"""51337"",""30144"""
51138,"""51337"",""30144"""
51142,"""51337"",""30144"""
51143,"""51337"",""30144"""
51267,"""51337"",""30144"""
51004,"""51337"",""30144"""
51223,"""51337"",""30144"""
51399,"""51337"",""30144"""
51012,"""51337"",""30144"""
51273,"""51337"",""30144"""
51227,"""51337"",""30144"""
51384,"""51337"",""30144"""
51327,"""51337"",""30144"""
51278,"""51337"",""30144"""
51127,"""51337"",""30144"""
51386,"""51337"",""30144"""
51261,"""51337"",""30144"""
51379,"""51337"",""30144"""
31917,"""51337"",""30144"""
31853,"""51337"",""30144"""
51964,"""51337"",""30144"""
51309,"""51337"",""30144"""
51325,"""51337"",""30144"""
51965,"""51337"",""30144"""
51355,"""51337"",""30144"""
51397,"""51337"",""30144"""
51132,"""51337"",""30144"""
51294,"""51337"",""30144"""
31930,"""51337"",""30144"""
51236,"""51337"",""30144"""
31848,"""51337"",""30144"""
51393,"""51337"",""30144"""
51051,"""51337"",""30144"""
31854,"""51337"",""30144"""
51259,"""51337"",""30144"""
51229,"""51337"",""30144"""
